trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyLetras.keys,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,letras.started,keyLetras.started,textCrossLetras.started,letras.stopped,trials.keyLetras.keys,blanco.started,textCrossBlanco.started,blanco.stopped,respuesta.started,keyRespuesta.started,textCrossRespuesta.started,respuesta.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01582800003234297,0.031777999945916235,0.031777999945916235,0.642382699996233,space,0.5957365999929607,None,,,,,,,,,,,,,,,,373081,001,2025-08-15_18h04.36.793,prelearned_chunks,2024.2.4,61.09847728895368,2025-08-15 18h04.41.478920 -0400,
chunk,A,bold,S,bold,W,bold,E,italic,T,italic,O,italic,I,bold,F,bold,5.0,T,italic,T,bold,I,italic,I,bold,0,0,0,None,space,7.040637999889441,None,0,0,0,28,0.7786758999573067,,,,,,,,,0.7668389000464231,0.7786758999573067,0.7786758999573067,2.6487521999515593,None,2.6488127999473363,2.6620471000205725,3.64898960001301,3.683899800060317,3.6927012000232935,3.6927012000232935,10.74423830001615,space,7.040637999889441,None,373081,001,2025-08-15_18h04.36.793,prelearned_chunks,2024.2.4,61.09847728895368,2025-08-15 18h04.41.478920 -0400,
chunk,I,bold,F,italic,A,italic,S,bold,M,bold,Y,italic,W,italic,E,bold,6.0,Y,italic,Y,bold,T,italic,T,bold,1,1,0,,,,,0,1,1,61,10.787046000012197,,,,,,,,,10.770316799986176,10.787046000012197,10.787046000012197,12.757354300003499,None,12.757424599956721,12.772092600003816,13.75736719998531,13.785018900060095,13.800956099992618,13.800956099992618,,,,,,,,,,,,
