trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,trial.started,textGame.started,trial.stopped,textGame.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
random,M,bold,E,italic,T,bold,W,italic,S,bold,U,bold,Y,italic,I,bold,4.0,W,italic,W,bold,A,italic,A,bold,14,14,0,0,14,14,123,15.825894100002188,,,,,,,,,15.811924000001454,15.825894100002188,16.81170530000236,16.826107000000775,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,W,bold,E,bold,U,bold,P,italic,I,bold,F,italic,A,bold,S,italic,4.0,P,italic,P,bold,T,italic,T,bold,15,15,0,0,15,15,59,16.826107000000775,,,,,,,,,16.811856700001954,16.826107000000775,17.833169699999416,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,F,italic,P,bold,S,italic,Y,italic,U,italic,A,italic,M,italic,E,italic,2.0,P,bold,P,italic,T,bold,T,italic,16,16,0,0,16,16,145,17.84425430000192,,,,,,,,,17.833319900000788,17.84425430000192,18.840542199999618,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,A,bold,O,bold,U,italic,T,italic,E,bold,M,bold,W,italic,P,italic,2.0,O,bold,O,italic,I,bold,I,italic,17,17,0,0,17,17,121,18.85834910000267,,,,,,,,,18.840737000002264,18.85834910000267,19.815911300000153,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,S,italic,T,italic,Y,italic,F,bold,P,bold,M,italic,A,italic,U,italic,8.0,U,italic,U,bold,O,italic,O,bold,18,18,0,0,18,18,151,19.83068529999946,,,,,,,,,19.81606340000144,19.83068529999946,20.842706800001906,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,A,bold,E,bold,U,bold,S,bold,I,bold,O,italic,M,bold,T,bold,8.0,T,bold,T,italic,P,bold,P,italic,19,19,0,0,19,19,159,20.86810390000028,,,,,,,,,20.84294790000058,20.86810390000028,21.817992700001923,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,E,italic,P,bold,M,bold,I,bold,F,bold,T,bold,U,bold,S,italic,6.0,T,bold,T,italic,W,bold,W,italic,20,20,0,0,20,20,85,21.83314059999975,,,,,,,,,21.81816240000262,21.83314059999975,22.827342200002022,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,W,italic,E,italic,T,italic,O,bold,M,italic,Y,bold,I,bold,F,bold,3.0,T,italic,T,bold,P,italic,P,bold,21,21,0,0,21,21,18,22.841889600000286,,,,,,,,,22.827494600001955,22.841889600000286,23.826954000000114,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,E,italic,M,italic,Y,italic,O,bold,F,italic,P,italic,I,italic,S,italic,4.0,O,bold,O,italic,T,bold,T,italic,22,22,0,0,22,22,147,23.841518799999903,,,,,,,,,23.827109300000302,23.841518799999903,24.826866600000358,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,M,italic,Y,italic,I,bold,F,bold,U,italic,P,bold,T,italic,O,italic,3.0,I,bold,I,italic,A,bold,A,italic,23,23,0,0,23,23,26,24.84140440000192,,,,,,,,,24.827022000001307,24.84140440000192,25.827147399999376,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,F,italic,A,italic,W,italic,T,bold,S,italic,E,bold,M,bold,O,italic,8.0,O,italic,O,bold,P,italic,P,bold,24,24,0,0,24,24,119,25.84098880000238,,,,,,,,,25.8272973000021,25.84098880000238,,,,,,,,,,
