trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,trial.started,textGame.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023794700002326863,0.03796449999936158,0.03796449999936158,2.2581178000000364,space,1.889284000000771,None,,,612381,001,2025-08-14_19h44.43.617,prelearned_chunks,2024.2.4,60.24756931286938,2025-08-14 19h45.08.608765 -0500,
random,W,bold,S,bold,U,bold,T,italic,M,bold,A,bold,I,italic,O,italic,3.0,U,bold,U,italic,E,bold,E,italic,0,0,0,0,0,0,106,2.970316599999933,,,,,,,,,2.9601318999993964,2.970316599999933,,,,,,,,
