trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353299931623042,0.028968899976462126,0.028968899976462126,1.087480999995023,space,1.038886099937372,None,,,,,,,,,,,182396,001,2025-08-15_17h31.15.182,prelearned_chunks,2024.2.4,59.90219169583289,2025-08-15 17h31.18.914438 -0400,
random,M,italic,T,italic,E,bold,F,italic,A,bold,W,italic,I,bold,Y,bold,5.0,A,bold,A,italic,U,bold,U,italic,0,0,0,space,3.4689598999684677,None,0,0,0,156,1.176787200034596,,,,,,,,,1.1627534000435844,1.176787200034596,2.099753199960105,2.1346671000355855,2.1425462999613956,5.6265507999341935,space,3.4689598999684677,None,,182396,001,2025-08-15_17h31.15.182,prelearned_chunks,2024.2.4,59.90219169583289,2025-08-15 17h31.18.914438 -0400,
random,W,italic,M,bold,A,bold,E,bold,Y,bold,P,italic,T,bold,I,italic,1.0,W,italic,W,bold,S,italic,S,bold,1,1,0,space,1.8752559999702498,None,0,1,1,152,5.640448099933565,,,,,,,,,5.626708699972369,5.640448099933565,6.626688599935733,6.638160699978471,6.655843999935314,8.5465370999882,space,1.8752559999702498,None,,182396,001,2025-08-15_17h31.15.182,prelearned_chunks,2024.2.4,59.90219169583289,2025-08-15 17h31.18.914438 -0400,
chunk,I,bold,F,bold,U,italic,P,italic,W,bold,E,bold,A,bold,S,italic,1.0,I,bold,I,italic,T,bold,T,italic,2,2,0,,,,0,2,2,56,8.554955499945208,,,,,,,,,8.54688159993384,8.554955499945208,9.54309089994058,9.558176300022751,9.569940899964422,,,,,9.569940899964422,,,,,,,,
