trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyLetras.keys,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,letras.started,keyLetras.started,textCrossLetras.started,letras.stopped,trials.keyLetras.keys,blanco.started,textCrossBlanco.started,blanco.stopped,respuesta.started,keyRespuesta.started,textCrossRespuesta.started,respuesta.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021739099989645183,0.03669069998431951,0.03669069998431951,0.5648802000796422,space,0.5196600999915972,None,,,,,,,,,,,,,,,,475894,001,2025-08-15_18h08.18.365,prelearned_chunks,2024.2.4,59.73319570700247,2025-08-15 18h08.23.025525 -0400,
random,T,bold,W,italic,S,italic,I,italic,P,italic,E,bold,U,bold,Y,bold,3.0,S,italic,S,bold,O,italic,O,bold,0,0,0,None,space,8.857304299948737,None,0,0,0,90,0.7180212000384927,,,,,,,,,0.7008845000527799,0.7180212000384927,0.7180212000384927,2.571705100010149,None,2.5717711000470445,2.5849757000105456,3.5732309999875724,3.6140449000522494,3.6327574000461027,3.6327574000461027,12.501255600014701,space,8.857304299948737,None,475894,001,2025-08-15_18h08.18.365,prelearned_chunks,2024.2.4,59.73319570700247,2025-08-15 18h08.23.025525 -0400,
random,Y,bold,S,bold,W,bold,O,bold,E,bold,I,bold,U,italic,A,bold,8.0,A,bold,A,italic,P,bold,P,italic,1,1,0,None,space,0.7122858000220731,None,0,1,1,87,12.541367000085302,,,,,,,,,12.534371500019915,12.541367000085302,12.541367000085302,14.511826900066808,None,14.511898900032975,14.525808400008827,15.51225480006542,15.548903300077654,15.572992300032638,15.572992300032638,16.294137499993667,space,0.7122858000220731,None,475894,001,2025-08-15_18h08.18.365,prelearned_chunks,2024.2.4,59.73319570700247,2025-08-15 18h08.23.025525 -0400,
random,U,bold,F,bold,T,italic,M,bold,S,italic,I,italic,P,italic,W,italic,8.0,W,italic,W,bold,E,italic,E,bold,2,2,0,,,,,0,2,2,127,16.338160500046797,,,,,,,,,16.318837200058624,16.338160500046797,16.338160500046797,18.3098971999716,None,18.309975199983455,18.322080000070855,19.309266500058584,19.347521000076085,19.369684800039977,19.369684800039977,,,,,,,,,,,,
