trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,textGame.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
chunk,I,bold,F,bold,A,italic,S,bold,W,italic,E,italic,U,bold,P,italic,1.0,I,bold,I,italic,T,bold,T,italic,10,10,0,n,0.3229037999990396,None,0,10,10,72,19.810852999999042,,,,,,,,,19.797129299997323,19.810852999999042,20.796434100000624,20.79647059999843,20.810720199999196,20.810720199999196,21.146701499998017,n,0.3229037999990396,None,20.810720199999196,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,O,bold,M,bold,F,italic,A,bold,T,italic,U,italic,E,italic,P,italic,1.0,O,bold,O,italic,I,bold,I,italic,11,11,0,n,0.24220530000093277,None,0,11,11,112,21.160699000000022,,,,,,,,,21.146864199999982,21.160699000000022,22.146475099998497,22.1464988000007,22.160611600000266,22.160611600000266,22.41340339999806,n,0.24220530000093277,None,22.160611600000266,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,W,bold,M,bold,U,italic,Y,bold,T,italic,I,bold,P,italic,E,italic,6.0,I,bold,I,italic,O,bold,O,italic,12,12,0,n,0.277210100000957,None,0,12,12,93,22.42724509999971,,,,,,,,,22.413569799999095,22.42724509999971,23.412803999999596,23.41282929999943,23.427263199999288,23.427263199999288,23.713186199998745,n,0.277210100000957,None,23.427263199999288,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,T,bold,O,bold,W,italic,E,italic,M,bold,Y,italic,I,italic,F,italic,7.0,I,italic,I,bold,S,italic,S,bold,13,13,0,n,0.244020800000726,None,0,13,13,54,23.727111399999558,,,,,,,,,23.71334769999885,23.727111399999558,24.712979500000074,24.713003999997454,24.7269372999981,24.7269372999981,24.97985659999904,n,0.244020800000726,None,24.7269372999981,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,I,bold,A,italic,F,bold,P,italic,O,italic,M,bold,T,italic,S,italic,4.0,P,italic,P,bold,Y,italic,Y,bold,14,14,0,n,0.11228639999899315,None,0,14,14,91,24.993561499999487,,,,,,,,,24.980018599999312,24.993561499999487,25.9794058999978,25.97943319999831,25.99350129999948,25.99350129999948,26.11294540000017,n,0.11228639999899315,None,25.99350129999948,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,U,bold,P,bold,A,bold,S,italic,I,italic,F,bold,W,italic,E,italic,8.0,E,italic,E,bold,T,italic,T,bold,15,15,0,n,0.3730829000014637,None,0,15,15,71,26.126783600000635,,,,,,,,,26.11311179999757,26.126783600000635,27.11257779999869,27.112603099998523,27.126823700000386,27.126823700000386,27.513002899999265,n,0.3730829000014637,None,27.126823700000386,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,F,italic,P,bold,S,italic,Y,italic,U,italic,A,italic,M,italic,E,italic,2.0,P,bold,P,italic,T,bold,T,italic,16,16,0,n,0.2604328000015812,None,0,16,16,145,27.526887899999565,,,,,,,,,27.5131756999981,27.526887899999565,28.512353099999018,28.512379100000544,28.52654579999944,28.52654579999944,28.796071400000073,n,0.2604328000015812,None,28.52654579999944,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,F,bold,W,bold,O,italic,U,italic,P,italic,A,bold,S,italic,Y,italic,2.0,W,bold,W,italic,M,bold,M,italic,17,17,0,n,0.28099590000056196,None,0,17,17,89,28.810031599998183,,,,,,,,,28.796237499998824,28.810031599998183,29.795736699998088,29.79576199999792,29.810216899997613,29.810216899997613,30.095724200000404,n,0.28099590000056196,None,29.810216899997613,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,S,italic,T,italic,Y,italic,F,bold,P,bold,M,italic,A,italic,U,italic,8.0,U,italic,U,bold,O,italic,O,bold,18,18,0,n,0.2691716000008455,None,0,18,18,151,30.109591099997488,,,,,,,,,30.09588669999721,30.109591099997488,31.09530789999917,31.095331799999258,31.10981239999819,31.10981239999819,31.39562119999755,n,0.2691716000008455,None,31.10981239999819,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,I,bold,F,bold,U,italic,P,italic,W,bold,E,bold,A,bold,S,italic,1.0,I,bold,I,italic,T,bold,T,italic,19,19,0,n,0.15377369999987422,None,0,19,19,56,31.40942929999801,,,,,,,,,31.395786999997654,31.40942929999801,32.3952019999997,32.39522729999953,32.409419499999785,32.409419499999785,32.578917799997726,n,0.15377369999987422,None,32.409419499999785,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
