trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010063699912279844,0.02669269999023527,0.02669269999023527,1.4843205999350175,space,1.4524513999931514,None,,,,,,,,,,,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,U,bold,P,italic,W,italic,E,bold,I,bold,F,bold,M,bold,Y,bold,5.0,I,bold,I,italic,T,bold,T,italic,0,0,0,space,2.7258423999883235,None,0,0,0,36,1.5574004999361932,,,,,,,,,1.551702499971725,1.5574004999361932,2.493958599981852,2.505505900015123,2.5232222999911755,5.257095400011167,space,2.7258423999883235,None,,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
random,A,bold,I,italic,T,italic,Y,italic,P,italic,W,italic,O,italic,S,bold,2.0,I,italic,I,bold,E,italic,E,bold,1,1,0,space,1.1646590000018477,None,0,1,1,97,5.271428099949844,,,,,,,,,5.25723069999367,5.271428099949844,6.258558299974538,6.269410299952142,6.2867673999862745,7.460716999950819,space,1.1646590000018477,None,,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,M,bold,Y,bold,I,italic,F,bold,A,italic,S,italic,U,bold,P,bold,2.0,Y,bold,Y,italic,T,bold,T,italic,2,2,0,space,2.009993499959819,None,0,2,2,57,7.470518399961293,,,,,,,,,7.460980499978177,7.470518399961293,8.458194199949503,8.469394199899398,8.485751900007017,10.505432599922642,space,2.009993499959819,None,8.485751900007017,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,W,italic,E,italic,M,italic,Y,bold,I,italic,F,italic,U,bold,P,bold,5.0,I,italic,I,bold,T,italic,T,bold,3,3,0,space,0.597557200002484,None,0,3,3,4,10.518286700011231,,,,,,,,,10.505751699907705,10.518286700011231,11.505463299923576,11.51621889998205,11.533278099959716,12.139869499951601,space,0.597557200002484,None,11.533278099959716,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,I,bold,F,italic,A,italic,S,bold,M,bold,Y,italic,W,italic,E,bold,6.0,Y,italic,Y,bold,T,italic,T,bold,4,4,0,space,0.5234141999389976,None,0,4,4,61,12.149833899922669,,,,,,,,,12.140151500003412,12.149833899922669,13.137351099983789,13.145697299973108,13.164748799987137,13.70543460000772,space,0.5234141999389976,None,13.164748799987137,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
random,W,italic,U,italic,I,bold,P,bold,E,bold,Y,italic,M,bold,F,bold,7.0,M,bold,M,italic,T,bold,T,italic,5,5,0,space,1.2112643000436947,None,0,5,5,118,13.715323299984448,,,,,,,,,13.705777399940416,13.715323299984448,14.704830799950287,14.712535999948159,14.729832499986514,15.95192409993615,space,1.2112643000436947,None,14.729832499986514,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
random,S,bold,F,bold,P,italic,E,italic,O,italic,M,italic,U,italic,Y,italic,8.0,Y,italic,Y,bold,T,italic,T,bold,6,6,0,space,1.059938499936834,None,0,6,6,95,15.963633699924685,,,,,,,,,15.952169799944386,15.963633699924685,16.951162199955434,16.96100979996845,16.97867799992673,18.04866809991654,space,1.059938499936834,None,16.97867799992673,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
random,T,italic,P,bold,S,italic,F,italic,A,italic,E,italic,I,bold,M,bold,2.0,P,bold,P,italic,T,bold,T,italic,7,7,0,space,0.44679690001066774,None,0,7,7,129,18.06235389993526,,,,,,,,,18.04891329992097,18.06235389993526,19.048662699991837,19.056349199963734,19.059983699931763,19.515686700004153,space,0.44679690001066774,None,19.059983699931763,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,T,bold,O,bold,A,italic,S,bold,M,italic,Y,bold,U,italic,P,bold,8.0,P,bold,P,italic,I,bold,I,italic,8,8,0,space,0.5535984999733046,None,0,8,8,55,19.52745920000598,,,,,,,,,19.515954199945554,19.52745920000598,20.515626200009137,20.527388599934056,20.542717200005427,21.09836949990131,space,0.5535984999733046,None,20.542717200005427,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,I,italic,F,bold,U,italic,P,italic,W,italic,E,bold,A,italic,S,italic,6.0,E,bold,E,italic,T,bold,T,italic,9,9,0,space,0.5482256999239326,None,0,9,9,21,21.109371999977157,,,,,,,,,21.098629399901256,21.109371999977157,22.096190799959004,22.102050199988298,22.107538099982776,22.66316359990742,space,0.5482256999239326,None,22.107538099982776,558557,001,2025-08-15_17h28.39.816,prelearned_chunks,2024.2.4,59.768504646324125,2025-08-15 17h28.43.614007 -0400,
chunk,T,italic,O,italic,A,italic,S,italic,U,bold,P,italic,W,bold,E,bold,1.0,T,italic,T,bold,I,italic,I,bold,10,10,0,,,,0,10,10,64,22.67460199992638,,,,,,,,,22.663368199951947,22.67460199992638,23.662245699902996,23.670539199956693,23.690474799950607,,,,,23.690474799950607,,,,,,,,
