trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,textGame.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011142799980007112,0.0264390999218449,0.0264390999218449,2.9797279000049457,space,2.945426700054668,None,,,,,,,,,,,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,A,bold,S,bold,I,bold,F,bold,U,bold,P,italic,M,italic,Y,italic,8.0,Y,italic,Y,bold,T,italic,T,bold,0,0,0,y,2.968722700024955,None,0,0,0,15,3.0733133999165148,,,,,,,,,3.0611109000165015,3.0733133999165148,3.9936633999459445,3.9937080999370664,4.007969299913384,4.007969299913384,6.991936599952169,y,2.968722700024955,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,U,bold,P,italic,I,bold,F,italic,T,italic,O,bold,A,bold,S,italic,2.0,P,italic,P,bold,W,italic,W,bold,1,1,0,n,0.6726534999907017,None,0,1,1,1,7.005241999984719,,,,,,,,,6.992248099995777,7.005241999984719,8.006375700002536,8.006416499963962,8.020057899993844,8.020057899993844,8.708745899959467,n,0.6726534999907017,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,T,italic,O,italic,A,italic,S,italic,U,bold,P,italic,W,bold,E,bold,1.0,T,italic,T,bold,I,italic,I,bold,2,2,0,n,0.28415429999586195,None,0,2,2,64,8.719700200017542,,,,,,,,,8.709025599993765,8.719700200017542,9.70771310001146,9.707755499985069,9.719033999950625,9.719033999950625,10.006163700018078,n,0.28415429999586195,None,9.719033999950625,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
random,T,bold,U,bold,S,italic,Y,italic,E,italic,A,bold,M,bold,O,bold,4.0,Y,italic,Y,bold,P,italic,P,bold,3,3,0,y,0.32079739996697754,None,0,3,3,115,10.019184299977496,,,,,,,,,10.006394899915904,10.019184299977496,11.006628099945374,11.00666969991289,11.017846899922006,11.017846899922006,11.34037009999156,y,0.32079739996697754,None,11.017846899922006,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,A,italic,S,italic,W,italic,E,bold,M,bold,Y,italic,I,bold,F,italic,5.0,M,bold,M,italic,T,bold,T,italic,4,4,0,y,0.6324745999881998,None,0,4,4,44,11.352094299974851,,,,,,,,,11.340660499990918,11.352094299974851,12.354199699941091,12.354275599936955,12.368275500019081,12.368275500019081,13.017808899981901,y,0.6324745999881998,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,I,italic,F,bold,W,bold,E,bold,T,italic,O,bold,A,italic,S,bold,1.0,I,italic,I,bold,U,italic,U,bold,5,5,0,n,0.8733881000662223,None,0,5,5,40,13.03238979994785,,,,,,,,,13.018023199983872,13.03238979994785,14.018217899953015,14.018251699977554,14.03121199994348,14.03121199994348,14.918836399912834,n,0.8733881000662223,None,14.03121199994348,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,M,bold,Y,bold,I,italic,F,bold,A,italic,S,italic,U,bold,P,bold,2.0,Y,bold,Y,italic,T,bold,T,italic,6,6,0,y,2.6505720999557525,None,0,6,6,57,14.931692900019698,,,,,,,,,14.919073199969716,14.931692900019698,15.919280299916863,15.91932739992626,15.931574899936095,15.931574899936095,18.584569599945098,y,2.6505720999557525,None,15.931574899936095,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
random,S,bold,F,bold,P,italic,E,italic,O,italic,M,italic,U,italic,Y,italic,8.0,Y,italic,Y,bold,T,italic,T,bold,7,7,0,n,0.529023600043729,None,0,7,7,95,18.595423099934123,,,,,,,,,18.58482569991611,18.595423099934123,19.583311999915168,19.583353399997577,19.595010399934836,19.595010399934836,20.128004899946973,n,0.529023600043729,None,19.595010399934836,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
random,A,bold,I,italic,T,italic,Y,italic,P,italic,W,italic,O,italic,S,bold,2.0,I,italic,I,bold,E,italic,E,bold,8,8,0,n,0.8012455999851227,None,0,8,8,97,20.142966500017792,,,,,,,,,20.12813259998802,20.142966500017792,21.1271755999187,21.12719879997894,21.14229569991585,21.14229569991585,21.948556100018322,n,0.8012455999851227,None,21.14229569991585,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,M,italic,Y,italic,I,bold,F,bold,U,italic,P,bold,T,italic,O,italic,3.0,I,bold,I,italic,A,bold,A,italic,9,9,0,n,0.389055100036785,None,0,9,9,26,21.959433499956504,,,,,,,,,21.948874399997294,21.959433499956504,22.94850729999598,22.94856309995521,22.957731999922544,22.957731999922544,23.361660599941388,n,0.389055100036785,None,22.957731999922544,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
random,Y,bold,S,bold,F,italic,M,italic,T,italic,I,italic,U,bold,O,italic,1.0,Y,bold,Y,italic,W,bold,W,italic,10,10,0,y,0.27742870000656694,None,0,10,10,128,23.374658399960026,,,,,,,,,23.361883600009605,23.374658399960026,24.362162299919873,24.362214399967343,24.37437149998732,24.37437149998732,24.66083730000537,y,0.27742870000656694,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
random,I,bold,T,italic,F,italic,E,italic,Y,italic,W,bold,U,italic,O,italic,3.0,F,italic,F,bold,M,italic,M,bold,11,11,0,y,1.1720090999733657,None,0,11,11,130,24.673524599988014,,,,,,,,,24.6610975000076,24.673524599988014,25.659703899989836,25.65974609996192,25.672971099964343,25.672971099964343,26.856176499975845,y,1.1720090999733657,None,25.672971099964343,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,I,italic,F,bold,U,italic,P,italic,W,italic,E,bold,A,italic,S,italic,6.0,E,bold,E,italic,T,bold,T,italic,12,12,0,y,0.4714165000477806,None,0,12,12,21,26.870943899964914,,,,,,,,,26.856303000007756,26.870943899964914,27.8727875999175,27.872818099916913,27.89005669998005,27.89005669998005,28.37228279991541,y,0.4714165000477806,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
chunk,T,bold,O,bold,A,bold,S,italic,M,italic,Y,bold,U,italic,P,italic,6.0,Y,bold,Y,italic,I,bold,I,italic,13,13,0,y,0.9528833999065682,None,0,13,13,69,28.387009699945338,,,,,,,,,28.372441799961962,28.387009699945338,29.374831299996004,29.37485449993983,29.39230069995392,29.39230069995392,30.354108099942096,y,0.9528833999065682,None,,237854,001,2025-08-15_17h01.26.646,prelearned_chunks,2024.2.4,60.483480743541726,2025-08-15 17h01.37.077064 -0400,
